gene	sample1	sample2
ENSG00000049167	1.509588118	1.267410062
ENSG00000049192	0.191046045	0.054460994
ENSG00000049239	16.25601636	13.20630995
ENSG00000049245	44.74855856	50.25500119
ENSG00000049246	5.868408008	8.989593983
ENSG00000049247	0.31357332	0.062025383
ENSG00000049249	2.866532944	0.482531222
ENSG00000049283	0.497764594	0.406826116
ENSG00000049323	16.39191741	2.187190689
ENSG00000049449	10.81577778	10.2354218
ENSG00000049540	4.986473148	3.464054106
ENSG00000049541	9.492610193	8.310206233
ENSG00000049618	6.65750621	6.433741748
ENSG00000049656	22.92739436	26.51901816
ENSG00000049759	4.083168144	5.885843678
ENSG00000049768	5.261776897	0.95265786
ENSG00000049769	1.157403408	2.033808289
ENSG00000049860	36.97197331	29.68909397
